video ID,uploader,age,category,length,views,rate,ratings,comments,num related,ap,att10,att11,att12,att13,att14,att15,att16,att17,att18,att19,att20,att21,att22,att23,att24,att25,att26,att27,att28,att29
kEH8D0r80Lc,lovlyre,1257,People & Blogs,271,9369,4.7,131,89,20,105.8,jylaapfGk5Q,gTK7bSOHYdc,H1ZZ8Gt0feM,_4yS3M5NPfY,PSh5q-Fmuo8,1ZP6rZa8yL0,a055fsjgD9c,usIyEL7ut5A,rUmlWIG-4HA,4eK4cxVDcX4,YRjpfMHB2IE,rvDy-tvJRyo,ykAbFG0tmuk,WpstzdWqy6g,5l_rWA9kZeE,XI81xmP7zBw,eQXE0doiTEY,xeqIqC_8VAo,zayPDWMfxVo,8wgwZuXA6UA
H1ZZ8Gt0feM,lovlyre,1257,People & Blogs,262,9673,4.88,69,55,20,60.6,XI81xmP7zBw,WpstzdWqy6g,TTM3vZn6ew4,xeqIqC_8VAo,oNeflwrGo9Q,jylaapfGk5Q,rvDy-tvJRyo,gTK7bSOHYdc,crCmj_HIDZ8,UtqFCDyKfDk,bR2vGMq68pw,T65BNTvFOE8,LJ02e531K94,okZalRKf9Dg,_4yS3M5NPfY,usIyEL7ut5A,f8jZyexrJEE,eQXE0doiTEY,kEH8D0r80Lc,YRjpfMHB2IE
25tfstdGC-8,khoof7,1256,People & Blogs,81,183135,4.57,621,663,20,646.2,ji5_MqicxSo,R9ya9BXClRw,RcYv5x6gZTA,-F-3E8pyjFo,2ip_8ovuvBw,j0MGKsx4iPE,Cj-jzlOkgUU,1iP7xr6ig-s,K7O6AWwLyAk,NQ7zeZrAAkc,VZ7qNblNK-U,1R5CcN1zbjA,87oNtbWh3Gc,kmIy7NCSWj0,Eq6OA3JjqxY,ioIGX-p7XgE,TQBjO3nLdTQ,vlOkTGv1PHQ,u6rS-Jz6QAw,o_OAnZiyKMI
Ajvj82GCXqo,kj6754,1258,People & Blogs,325,22,0,0,0,20,0,4Z4fic7NvE0,HgZ_zZOvgoQ,BmwXX5FEUKk,ldNWqO3Wl-U,4gaMpYTbNHk,gaGtDwxAUJY,4SRAMg489Kc,42gXZmpbemY,5iff3pDpRR8,Rm-GVHMNafo,p9_RlK5o0aQ,tFu6jiA_rjE,7rjUQa5zHhY,DVBi6VADHH8,D0LtnCnKIW8,LBDuWJkyLhs,Ic67taFeIi8,dgkq3RZOAWU,S-RZviyHHz0,oJbf-2-cVPg
qo6CK5PBk-I,wideallyphan,1258,People & Blogs,77,22,0,0,0,20,0,LaiuHMvArTU,9l-VDOGqmd4,tSEU9xvqBcQ,PvNbhDOcLb8,y4NElRRGetQ,WXYMqz58z2Q,5_a2GgqD_jo,BOct87nYSs4,8HLtgzt58WA,B1oLUnM-Mxs,pQcaADiMWU0,18jBkf5_0vs,MSsVFcRjTwc,EbrQ0fl6Az8,prIXBEn3NgQ,DUP85iNCd4k,a5J9y3GAzrM,xRvDYodCaRs,34l8g8WCeGI,HEQ8edXw21M
FbJMsx3gTC8,garfield05nl,1258,People & Blogs,0,0,0,0,0,20,0,dV8kFDOWmsM,Cz5_QjcD23U,3T4_fBAZWaU,6qbolMWTT9Q,Xj3_ORWmVmk,FZGv22cfu1k,fHzFQ21y3uo,wH4FK7ORGHo,wMQHvLTBw_U,DAikNX3RNaE,k67vr5A6gxk,vJh_jXWo3jU,d9DoiUCGu_A,Ut7s1JUCdWE,gsMpTxQ896A,VqEpU-3oXqM,HBqyrgHMVro,FJOKNWIWc5M,d54MXJkG-1Q,_wf-e1MGXtU
IeICq-glPZY,deyda5,1258,People & Blogs,52,1,0,0,0,7,0,rKljkes1pQc,WqqzZUESS7k,14cZPdiMHD4,LGmYkhi-85Q,ez5CgU-YqFY,8Mm1XkOF8ok,L7tiZtCsZR4,,,,,,,,,,,,,
PW9jlAMze6A,JAVODANDY,1258,People & Blogs,50,0,0,0,0,20,0,Ya-WC1kKCTU,aMsD7sqvtGg,HyMMyIxY8q8,ifRW-Ai2eEU,KrcJULcG894,wWGxNbk2LSg,Syowb5Hb0kk,9zlMkQNLgCY,9fykLdKCI1o,ykFdLbxJPds,UJ-hqpEV190,-W-nLNqokew,IizidRw6sS8,Shx6m4j-7-c,UcHwHR69pkY,YS7PNgUcmAw,wyLS4jN5CvY,DcyKlTyhXXI,xusfBLZRjRY,ldFx7Ld5qdo
UN67fxO7BA4,chstep,1258,People & Blogs,217,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
LUseNXhcc6I,blooditarilde,1258,People & Blogs,142,0,0,0,0,20,0,8ij6nBQfQoo,O_sKAotTJiI,59NNupminV8,HT2hElMqlFs,mSu6SMBBBpk,zB24z00ajU4,1I4xPbsO-FM,HA5nboJWgZY,y6gXdxqUysE,cP58zHGZ6xo,Fywz1zoI0Ts,eqVv7fCLVWM,F61LQdlblqc,AlXhosTHYq4,ZNfuTDbdKoY,Rn12wcZaZF8,3jlXnQEgbuw,a_UMZ_9RBmk,vjDsVca5k74,g--Vlij1X1Y
c4pyB2PLasc,kiba8848403,1258,People & Blogs,474,48,0,0,0,20,0,NZnqNyMrnYc,SfJQwJ-etdw,sWev6MkHEOo,LwKI-AM96FQ,6ecXePNqKng,V5iAHJ35gPc,wOhgf9VRD0g,pCJw9X3kyzg,M944KE1gN30,VT0ERFoNn64,15G9Amq4bqY,IJl83rIuLFc,aa37ZBWdenM,wm5ATn8TlKI,ha-orvjqC4w,JOqjefeGHSQ,04sTXVZxaG0,Ss_i-4N0wVs,5VftBsGd0qo,CNuW1iHr960
8uFmwDGx7mg,chadweezy1989,1258,People & Blogs,36,0,0,0,0,20,0,uYINLG3WNlw,84djsEaWAo4,2D8pUw-MrE8,HbiCOxntYuI,3IPlPJ-wHqQ,0DAuW3FPo40,5Q8LTnGPFeg,VJP123yBsFQ,JOWqwuj4OM0,dt6K8cr5s4Q,m-L85Gvpjzk,7zZqP24lg8c,5Y0T1Qjrl1U,60HhUemz8X0,08zfzKBuXk8,Hg_zbd1w3Kw,kMLD7EPDVK8,o13Lc3RXy2w,aGq_3asGi5k,EAmQ0lT93m4
gm-c3EK8X_o,rokkin121,1258,People & Blogs,115,0,0,0,0,20,0,wY3oEvaq71A,B5ESIq1Opbc,InQWcq8_VPg,bquEAdZXo1U,QKjSTugOAAA,lgqP9iYTkzc,NLLr0l2tMJo,h52zXZPnxPA,NilALRu3rrw,xiF6l-LCLm8,dsVAvWL1tVQ,ufJAOeqZJlU,oa1AYZHzNgo,NY8mF6hRNIM,m2bNm-ncyKM,VBGnKivsqeY,sfjXx4jYc80,MeOi_iR717k,R0AqE9dapV0,0M9T8nv_CXY
dqx_LYy5VfE,DocumentAndrea,1258,People & Blogs,155,1,0,0,0,20,0,7_8MmgW4x6E,TcohddEtUes,EU3G34H8JGw,iO3VslfW9yE,2688lxvhgbQ,UDskIj-CFf0,EOx9sx79cBI,976YyVc7fNQ,5cXB3QzdA4o,rjNEit1wlIs,IPvBSRZGAXQ,EyEM6R2UpW8,H2yOwP9nGF8,CSmk7ssWkcg,zFK3a5dXgqc,KnP9iMu7B3A,R3g6V1PyIQU,e1aHNDAWYqA,BvyWJcp6kZA,eXl_tiqqsfs
Rt6BJHIQWGA,mrahmanm,1258,People & Blogs,75,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
8N_xuz6HzR0,chirusavivi,1258,People & Blogs,327,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
lMBD-MJhm_Y,chipedblade,1258,People & Blogs,0,0,0,0,0,20,0,MCky91H2VQI,k98qJu9PtAs,V94shlqPlSI,hZKfNRxdUeI,qTZE3yPA2AE,9eohCbgOwIk,XxIjkBVEtyE,o8TLFRJQHpo,WupozC4pDn4,Qjvmg9AZRdc,ZxsClWe4juE,4H56JgLGAEI,Iz_F6XqEk5E,eREN9IadtNk,7lzR1e_h8Hc,-UInyM-fjmA,VTYv3a7yJYs,RrbcKYFY-dQ,dISPc5wvX64,6QIH8NrNeso
1K5FjuFsKUg,cathyr0cks,1258,People & Blogs,69,0,0,0,0,20,0,WH0mTdEYcbU,NuGc3JjEeoI,j9ovhBSHfu8,g8e10LZ7oCs,Of1LW-azYtk,YuzXVT3d65w,KSAg3jZKMC8,B_VvxcxKq-s,WsvTr-1bZwM,sF0r5Xy5OfY,Aqjv7RObU70,O65YtOTR-PU,Xj6__5ZT64k,F8W6Uoc51Q0,DWxaO8NyWdI,Wh3TjqCeRQg,JuCLK_QYZRU,NcR4EePO_88,Bbt3DjmN--4,9HkCgopLo7Y
Ieq6gx9FPf0,kevingabbert,1258,People & Blogs,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
E2NWr5ZHH1c,XxxEmoHollywoodxxX,1258,People & Blogs,260,0,0,0,0,20,0,qaIyuGN7Z14,rFmH6r4CKJI,MCz4tPZgUck,fPtimB4RziY,viIra7FQiAQ,tK87pHEkIno,fdtXbrKhUZU,DWo__ixlVFY,F2VsQ2pGt7E,WPf3SRuDUvc,oSLTPjj4X9o,fOJpr1okfRs,uBKr4OWOrpI,FelFc1ZzJ_Y,iwv4lFGTvZU,IPS7xG4dULE,5wLE-RaxIUc,WrsaHbYBCMg,ePy_0hOLqAw,eS9XmFpJy6M
0raCr_CvrMw,theone62098,1258,People & Blogs,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
7qM-_ez_5kY,RandomCrazyChris,1257,People & Blogs,52,158,0,0,0,20,0,MV95TjaXkX8,jfACnjzXc3o,hKDtm4BTANM,Jwzoi05VDts,rUsIbSW4qx8,Uzk_SGaJcEw,yluEw2zIMqk,pBTfhkQWd7I,btTHLCRDUJk,jxnTs4cpKQ4,i9QMlzYGM2I,F4zb49taTr0,lBhSOLtZagg,ly0dBk7yqYU,Bi0XKp568JY,vVhSDhDOHh0,uWAxLCkpPW4,zzAFEtwIoAw,3iguSOqYAVg,sA2kG2p9INU
Fw2KxSWs0hA,BullnBearAnalytics,1221,People & Blogs,581,203,0,0,6,20,3.6,kD3LTtYXl2A,vklQ-C_Xi4g,a55aVycBHQE,zpGfFNp4jOw,K2suIeetwfo,dyuUFs8iI1g,46RJyivS8SY,K0QmLAjbKmA,qsqEyGdLh8I,rLh-Kz4AmtM,ql7atyQbQEE,ocU5x_03MDM,tOZFtDa1u9w,0cOJNC2EuJw,EwIPDjO7W-Y,9Y_SSKB0wgU,TUadaQ0fnYU,FiH1GML1XMs,X7GjfyTfjPk,gI3oBB_n1AU
kD3LTtYXl2A,BullnBearAnalytics,1221,People & Blogs,243,75,0,0,1,0,0.6,,,,,,,,,,,,,,,,,,,,
T6jPQ6Ftesg,thetoastedrawr,1257,People & Blogs,80,762,3.85,13,22,20,18.4,7_4xqQffK8k,CT5tGAu-rPs,9_u-sWwyWI8,htpulp7ZbWE,rEycXsyVu_U,IaUxVKfuzOc,T7aMFuj0PaI,bZ4rWYw5OaM,QMGbapkjBp8,n7Oxb5kaBBE,LRXhSJgC5S4,7sfuJjA1sTs,Q9KQVZVGZrk,tzwKmU3Y59M,g06Ruui5gs4,HPsH0vmTHQw,jk1DSWkCa-U,xYJDSYMT_E4,CipqpMFk2Jk,uQqQkZLHDns
rEycXsyVu_U,jardine64,1258,People & Blogs,19,97,5,1,2,20,1.6,7_4xqQffK8k,CT5tGAu-rPs,9_u-sWwyWI8,T6jPQ6Ftesg,IaUxVKfuzOc,T7aMFuj0PaI,bZ4rWYw5OaM,htpulp7ZbWE,QMGbapkjBp8,n7Oxb5kaBBE,LRXhSJgC5S4,7sfuJjA1sTs,Q9KQVZVGZrk,tzwKmU3Y59M,g06Ruui5gs4,HPsH0vmTHQw,jk1DSWkCa-U,xYJDSYMT_E4,CipqpMFk2Jk,uQqQkZLHDns
SQ_HHV8vdAE,AllisonRhodespzxwu,1258,People & Blogs,175,7,0,0,0,20,0,n7Oxb5kaBBE,9_u-sWwyWI8,T6jPQ6Ftesg,rEycXsyVu_U,T7aMFuj0PaI,bZ4rWYw5OaM,htpulp7ZbWE,QMGbapkjBp8,LRXhSJgC5S4,7_4xqQffK8k,7sfuJjA1sTs,Q9KQVZVGZrk,CT5tGAu-rPs,tzwKmU3Y59M,g06Ruui5gs4,HPsH0vmTHQw,jk1DSWkCa-U,IaUxVKfuzOc,xYJDSYMT_E4,uQqQkZLHDns
htpulp7ZbWE,HelenaMN,1257,People & Blogs,79,259,3.88,8,6,20,6.8,9_u-sWwyWI8,T6jPQ6Ftesg,rEycXsyVu_U,bHYDIPAEVz8,y1vcft-ZNmg,6BhR3P2flHM,owKkSxGT8Ng,3fpupBCL6TE,1q7OztyTtco,3t-tiz830UM,NBLDSH4YPfA,CSVBADpK9fs,z-SmV-AiHyM,6Kgx7XvuikQ,12j1_rKbUUM,9twCQtXsq90,Zm3EWeaEgvM,EZaDzZwgRk4,Acxg3pakjxs,YD1G5rPD8vM
7_4xqQffK8k,weirdlover,932,People & Blogs,114,360,4,3,4,20,3.6,bZ4rWYw5OaM,5Jo_ahNghmE,0bsXI8MPmk0,GK-uUHchyeI,lE454cSwpQ4,o_drMjx5G94,w93VtrE3kN8,0CV7VIJdBls,i44NDDtisns,Dlk4OcoiolU,NGNbAgtNZVM,g06Ruui5gs4,GMBatTd25ss,Pd3LGQVJKV4,jZoIOrECzAo,RSZTG05dPAs,3zSbIAWZ_QM,eNwzNczqVF8,kqW9qkyZZI0,9TW13hYyz88
CT5tGAu-rPs,BleedingLlama,1072,People & Blogs,414,280,4.75,4,3,20,3.4,T7aMFuj0PaI,6TwJHjEmAM4,G8YquefJVYc,AMsO6NzP4QM,ZxumTu0J6wQ,ZSIGwUSOTTM,IvR-Y0Mrv9U,LRXhSJgC5S4,p9ab3qxIH4Q,h34VI18do8Y,dWlM0ag0HN0,eYaOtvULpDw,GbAJJ1mw9go,tW7jBVUKSlY,dxYNUu_2egM,1VqSldpLtKk,uw7MgDSG98c,M9k4nkmDrN0,PYQEn45oznA,U1trkBh92bk
jk1DSWkCa-U,kirstykannibal,1258,People & Blogs,150,129,5,1,3,20,2.2,bZ4rWYw5OaM,LRXhSJgC5S4,QMGbapkjBp8,IaUxVKfuzOc,n7Oxb5kaBBE,xFZCK4yay8E,Jb18CWao5kY,zx0scEsBGfM,gSoskt9xvWo,hlGsKsPFAIg,Czttc9c3vjU,zJ77f2K7d7Y,ejM3fYWutis,M0_dOY1lu1A,dv8HGsy0bsA,ykINtX_WeF8,OTUve2nZzPQ,xtlXhzTn3OE,IDCm4NW76dw,PeF-zgd_PLI
ywUYymEQALo,lightanddarklove,1140,People & Blogs,579,330,5,1,3,20,2.2,1kW5S3hDlRU,orj43Cxt8hE,sUAJgbZcpdE,LPvq3JLhwkA,ds9eAvGkitA,nvPeK2Dpr-A,Fo4Vj7pfGx8,JJrnR2lCtkU,6WwokxaahnM,zRPHRIos2eo,-S7fhfuB7Ns,AI1hHgEgIBI,fmXq5XlBH7o,JSUL-v8DhlE,-n02UdnLyVk,lQxwYjewdqA,pn7AtwCEuvw,UwKblEHUq_c,cnc6bgquhwo,zGDW_R5qx0w
G5skzLS9RGU,aanyakae,1010,People & Blogs,198,142,4,3,1,20,1.8,O63BJDsboG8,H6I9w8oC3pI,0bjynCYPs-M,d6WqEFN1ogY,gleYXXA_rNw,dWlRDjhU6w8,eYjA8dNIoSw,jTUQd5usMyE,yNrRKEQa2PU,CxouCfPS7AY,4B8LsnD3BKg,YLrjSszXzG4,0CmrjgJccoc,ZxyE8clSwYk,HTcBer-d7xk,8xsoCuftCpw,TmYTRhSEDrM,81qHa3gJB3E,yvO1vOieF3Y,xnLXZdijPsA
4K9EEAm8WI0,elenamargo,1088,People & Blogs,48,15,5,1,0,19,0.4,4hKZKgHG1g8,43nrHJhjpUM,LBCH1HzYeYc,Ndj6sQfzCD4,IYx-JQZs6OY,dF_TMr-M_Sc,dTlCUN-lwjY,n8eMf9_33R8,OkDARWt2lN4,9ysAexJZcBE,LQPEsa5e7K0,WH13FRDzrZI,qm3h7mqkQK0,WIkysO7_4Kw,E_QfULlTF8U,JhKSdkN1o6E,9ulleKSFK1Q,SAUUJkEjBEc,Tg305vLk4HA,
4R75-_6eQ5I,CalvinMaxwell,1016,People & Blogs,34,6496,4.96,97,54,20,71.2,SAnBXO-hpKo,9OaSZxbe8hc,Na9kqO1x9oA,QKYA6FYwA2Q,hK-dC5ClbIE,KHXje2Jg-uQ,HveT7o0TTyY,Lht_JH2xi6w,PKrnlGEW3ZU,5P3OcCGE_Rk,BgxZ5p2l7qY,sVs2sLIiJCI,dBV16QCRDfw,9PtYmgX3p0k,oOixk0j7q_0,f-q81KoJphk,7tkQGTWGKbY,tpM0i1NINYc,smMJQFp7Iqo,AQ0W8PwslYY
gMK2x03-tWg,louhilario,632,People & Blogs,317,11095,4,11,6,20,8,8uvvBxpCQTc,eFl5uC-hqaE,vgdklT9GHy4,L60hs-Gdo9Q,UGZDy6F1CX4,yGTc-hZ_DlM,kWYGjxQWi3U,4xpbbRNNN5w,Rittk4_dNt0,2JNKCv4PwW0,Bj2x5ryV8Fw,Drz5ovQ26iI,mYcpx_bUBHk,S1G5QxyJ748,_N97nz-6HSc,FP6oSn2WdrU,4IlsEFQvSU8,HjtIAU-2iic,3geE9ztRJkw,v_xvvK3-I8A
Hah0XQ1pAO4,TheKidFrom13thStreet,1258,People & Blogs,278,443,4.95,64,47,20,53.8,-QkM9TzHpls,KOyJ9oi9yLQ,zPvhUw56o4A,Yb4QPYleJ4g,3rF6XsPcuU4,zI--DUoPg6o,8IRDlht-7Fs,Ei7aTOo4r8Q,mD2ZiXPBEU4,OV-oaZcBe4A,dMlQivH2ZkA,ggT813s_fFw,WpBelXyWXS0,-Xa6EjdYn8A,Uyl4WQzuxjw,XxkjHYdSAH4,XNuclYD3G_M,YTKn_2nqhxU,jQBhL5BiJ9c,7Se9K-iaMY0
Ph9MMzecrSo,Google,1170,People & Blogs,1450,5309,4.82,22,4,0,11.2,,,,,,,,,,,,,,,,,,,,
WTEK9yr8zR4,ScenicAmerica,870,People & Blogs,339,3793,4.67,15,10,0,12,,,,,,,,,,,,,,,,,,,,
ykb2PPrCkJc,kwa22122,1258,People & Blogs,54,95,5,2,8,20,5.6,BJ8LxIF9dIc,6ElO7MMWTyw,MOfaqTpTvsY,v5_7oxH4iTw,HJHr7hbgzuM,VJPTbxX5Wkw,a-A5MBKWDB4,bYsG7xmcxmc,27yr8XYrgKQ,Peqm02YjmiM,Tk5A21oGcD4,7KpjkTrYlxQ,Qtk3xfIyIhw,UrUqmaifnFM,Pj9Ca9Yoa_I,cAKQOrfmH0M,xzFgttR1Af4,pgBnZQK5maE,zowtGF_DdWI,cH6BPyFu4k0
P20vEyUx1zs,suspectas,1235,People & Blogs,192,226,3.67,9,11,20,10.2,538tufL8-UE,V5-YXO3uedk,khFhF64P3VQ,cCqtr-tWzAs,Phbe8mEDMe4,KHPcWpNencs,trA0J9MzvqI,wCtq3OHlL_c,VuEUjZJGXr8,4H2axyoBtW4,HCthGZfFJ80,qpCNHvRfaes,cZZRdwzDDn4,USNwmAex_p8,pquU2RFIvy4,guGXkBsMxQY,h863nXDqCM0,dQDJcNAx8CI,whRWFscV6qg,8DYfkQ9Pbmk
V5-YXO3uedk,suspectas,1248,People & Blogs,215,181,2.33,6,6,20,6,pK4bLMd0avU,35w9nIl2adE,iM7SYE4XHXk,qGX7HVOhEMg,0LUZDN9E7-A,8xA2zSLib2E,WpBkc4UqpVk,QP86EpKVmck,zhCFhsiwDEk,JGLv3IEL0VI,eZad5JhCFH8,P20vEyUx1zs,-ye1_tLCou0,cumIx7aYsfk,HhZ5-L9znt8,MOLtdDZJzQY,3fIR-dp-07U,tgkBW-fDRM8,uSvsON7Dlmo,lCi7Kqpmn9M
KO-ztbCa-e8,kidww3,1257,People & Blogs,68,3040,4.72,18,2,20,8.4,A6Ge3wGc2G4,v5SQBHPHh4s,YbCltNe__8w,ILGI5CILN3M,ODP-mBY6-G4,JoD9JSqzWJY,yBBMzNfrzB8,wWwiNu-Z3zc,QgKOHNEe8T0,XGcSHcUxB24,OYhPivZ9OQQ,cWFkRQr5gcQ,MsfIv7ZH9VY,p-G7PO5_5Vw,v4bx44Bl8WU,IixBz45FkxM,7DxV1rRAxd8,oJvP3TMIxm8,Pyn480zXHRQ,cxN6A1NpGXg
88nFDNcDNII,israelruben,1257,People & Blogs,173,87,3,2,1,20,1.4,_l-XJY30RIc,roI_3gc9UAw,V1Oi8-Du6eM,-P3rrPAJ1-Q,Wy7VavMMUKw,FBcen4AlXvY,9nzpi5QfzY0,iKogXkMJX3o,AZUcdgJZ9mo,Ap5Gms7aUo0,YDRwSlIw-N0,37hmvJfGpR4,ZS5_JQDa1-A,Dcow5a19aXc,_st52WBndOM,gb4NwOEVi1g,8lvMjqcDnjI,z_BoyXy33jU,-qnW3TB5Qt8,tPBzEk3TaQM
bEeZ48TveZo,joshuawillis,904,People & Blogs,585,529,5,16,46,20,34,IlgoVwD5MxI,fD2XMjSRJfI,MT-4Cfxop2U,Z-LigSrrpts,7vRTb1cAYl4,ay_2iJZGlH8,CKeKHIMLpBY,0tW_-eriat0,YGkiS9Pe0U4,Zly0k0FDwUc,BphGI4jCxuQ,IbzWtWXqn4s,Ldtc_-ZGcac,7DJM45rK6xA,NBfmmvqbyew,9Den8NsIa9s,otHjA4Wcad0,i1iJASabAxw,FSbVZKs8B_8,TRdBSJScKT4
JkpXzBAgnMI,TheADLDudes,1055,People & Blogs,282,501,5,2,2,0,2,,,,,,,,,,,,,,,,,,,,
TXKGTPgrpxI,xergiospears,1042,People & Blogs,167,235,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
